Loan_ID,Gender,Married,Dependents,Education,Income,Coapplicant_Income,Loan_Tenor,Credit_History,Property_Area,Max_Loan_Amount,Loan_Status
LP001002,Male,No,0,Graduate,5849,0,144,1,Urban,,Y
LP001003,Male,Yes,1,Graduate,4583,1508,144,1,Rural,236.99,N
LP001005,Male,Yes,0,Graduate,3000,0,144,1,Urban,81.20,Y
LP001006,Male,Yes,0,Not Graduate,2583,2358,144,1,Urban,179.03,Y
LP001008,Male,No,0,Graduate,6000,0,144,1,Urban,232.40,Y
LP001011,Male,Yes,2,Graduate,5417,4196,144,1,Urban,414.50,Y
LP001013,Male,Yes,0,Not Graduate,2333,1516,144,1,Urban,123.99,Y
LP001014,Male,Yes,3+,Graduate,3036,2504,144,0,Semiurban,209.22,N
LP001018,Male,Yes,2,Graduate,4006,1526,144,1,Urban,208.81,Y
LP001020,Male,Yes,1,Graduate,12841,10968,144,1,Semiurban,449.00,N
LP001024,Male,Yes,2,Graduate,3200,700,144,1,Urban,126.56,Y
LP001027,Male,Yes,2,Graduate,2500,1840,144,1,Urban,148.74,Y
LP001028,Male,Yes,2,Graduate,3073,8106,144,1,Urban,363.42,Y
LP001029,Male,No,0,Graduate,1853,2840,144,1,Rural,166.53,N
LP001030,Male,Yes,2,Graduate,1299,1086,120,1,Urban,30.17,Y
LP001032,Male,No,0,Graduate,4950,0,144,1,Urban,179.48,Y
LP001034,Male,No,1,Not Graduate,3596,0,96,,Urban,50.83,Y
LP001036,Female,No,0,Graduate,3510,0,144,0,Urban,106.90,N
LP001038,Male,Yes,0,Not Graduate,4887,0,144,1,Rural,176.30,N
LP001041,Male,Yes,0,Graduate,2600,3500,,1,Urban,,Y
LP001043,Male,Yes,0,Not Graduate,7660,0,144,0,Urban,316.06,N
LP001046,Male,Yes,1,Graduate,5955,5625,144,1,Urban,513.63,Y
LP001047,Male,Yes,0,Not Graduate,2600,1911,144,0,Semiurban,157.35,N
LP001050,,Yes,2,Not Graduate,3365,1917,144,0,Rural,196.21,N
LP001052,Male,Yes,1,Graduate,3717,2925,144,,Semiurban,264.76,N
LP001066,Male,Yes,0,Graduate,9560,0,144,1,Semiurban,411.82,Y
LP001068,Male,Yes,0,Graduate,2799,2253,144,1,Semiurban,184.62,Y
LP001073,Male,Yes,2,Not Graduate,4226,1040,144,1,Urban,195.41,Y
LP001086,Male,No,0,Not Graduate,1442,0,144,1,Urban,72.68,N
LP001087,Female,No,2,Graduate,3750,2083,144,1,Semiurban,223.98,Y
LP001091,Male,Yes,1,Graduate,4166,3369,144,,Urban,309.76,N
LP001095,Male,No,0,Graduate,3167,0,144,1,Urban,89.62,N
LP001097,Male,No,1,Graduate,4692,0,144,1,Rural,166.48,N
LP001098,Male,Yes,0,Graduate,3500,1667,144,1,Semiurban,190.42,Y
LP001100,Male,No,3+,Graduate,12500,3000,144,1,Rural,581.20,N
LP001106,Male,Yes,0,Graduate,2275,2067,144,1,Urban,,Y
LP001109,Male,Yes,0,Graduate,1828,1330,,0,Urban,,N
LP001112,Female,Yes,0,Graduate,3667,1459,144,1,Semiurban,188.35,Y
LP001114,Male,No,0,Graduate,4166,7210,144,1,Urban,373.35,Y
LP001116,Male,No,0,Not Graduate,3748,1668,144,1,Semiurban,202.97,Y
LP001119,Male,No,0,Graduate,3600,0,144,1,Urban,111.44,N
LP001120,Male,No,0,Graduate,1800,1213,144,1,Urban,81.86,Y
LP001123,Male,Yes,0,Graduate,2400,0,144,,Urban,50.96,Y
LP001131,Male,Yes,0,Graduate,3941,2336,144,1,Semiurban,246.36,Y
LP001136,Male,Yes,0,Not Graduate,4695,0,,1,Urban,,Y
LP001137,Female,No,0,Graduate,3410,0,,1,Urban,,Y
LP001138,Male,Yes,1,Graduate,5649,0,144,1,Urban,214.71,Y
LP001144,Male,Yes,0,Graduate,5821,0,144,1,Urban,223.38,Y
LP001146,Female,Yes,0,Graduate,2645,3440,144,0,Urban,236.68,N
LP001151,Female,No,0,Graduate,4000,2275,144,1,Semiurban,246.26,Y
LP001155,Female,Yes,0,Not Graduate,1928,1644,144,1,Semiurban,110.03,Y
LP001157,Female,No,0,Graduate,3086,0,144,1,Semiurban,85.53,Y
LP001164,Female,No,0,Graduate,4230,0,144,1,Semiurban,143.19,N
LP001179,Male,Yes,2,Graduate,4616,0,144,1,Urban,162.65,N
LP001186,Female,Yes,1,Graduate,11500,0,144,0,Urban,509.60,N
LP001194,Male,Yes,2,Graduate,2708,1167,144,1,Semiurban,125.30,Y
LP001195,Male,Yes,0,Graduate,2132,1591,144,1,Semiurban,117.64,Y
LP001197,Male,Yes,0,Graduate,3366,2200,144,1,Rural,210.53,N
LP001198,Male,Yes,1,Graduate,8080,2250,144,1,Urban,450.63,Y
LP001199,Male,Yes,2,Not Graduate,3357,2859,144,1,Urban,243.29,Y
LP001205,Male,Yes,0,Graduate,2500,3796,144,1,Urban,247.32,Y
LP001206,Male,Yes,3+,Graduate,3029,0,144,1,Urban,82.66,Y
LP001207,Male,Yes,0,Not Graduate,2609,3449,72,0,Rural,82.66,N
LP001213,Male,Yes,1,Graduate,4945,0,144,0,Rural,179.23,N
LP001222,Female,No,0,Graduate,4166,0,144,0,Semiurban,139.97,N
LP001225,Male,Yes,0,Graduate,5726,4595,144,1,Semiurban,450.18,N
LP001228,Male,No,0,Not Graduate,3200,2254,72,0,Urban,67.44,N
LP001233,Male,Yes,1,Graduate,10750,0,144,1,Urban,471.80,Y
LP001238,Male,Yes,3+,Not Graduate,7100,0,60,1,Urban,79.10,Y
LP001241,Female,No,0,Graduate,4300,0,144,0,Semiurban,146.72,N
LP001243,Male,Yes,0,Graduate,3208,3066,144,1,Urban,246.21,Y
LP001245,Male,Yes,2,Not Graduate,1875,1875,144,1,Semiurban,119.00,Y
LP001248,Male,No,0,Graduate,3500,0,120,1,Semiurban,77.00,Y
LP001250,Male,Yes,3+,Not Graduate,4755,0,,0,Semiurban,,N
LP001253,Male,Yes,3+,Graduate,5266,1774,144,1,Semiurban,284.82,Y
LP001255,Male,No,0,Graduate,3750,0,192,1,Urban,182.00,N
LP001256,Male,No,0,Graduate,3750,4750,144,1,Urban,358.40,N
LP001259,Male,Yes,1,Graduate,1000,3022,144,1,Urban,132.71,N
LP001263,Male,Yes,3+,Graduate,3167,4000,120,0,Semiurban,231.01,N
LP001264,Male,Yes,3+,Not Graduate,3333,2166,144,,Semiurban,207.15,Y
LP001265,Female,No,0,Graduate,3846,0,144,1,Semiurban,123.84,Y
LP001266,Male,Yes,1,Graduate,2395,0,144,1,Semiurban,50.71,Y
LP001267,Female,Yes,2,Graduate,1378,1881,144,1,Urban,94.25,N
LP001273,Male,Yes,0,Graduate,6000,2250,144,,Semiurban,345.80,N
LP001275,Male,Yes,1,Graduate,3988,0,96,1,Urban,64.00,Y
LP001279,Male,No,0,Graduate,2366,2531,144,1,Semiurban,176.81,Y
LP001280,Male,Yes,2,Not Graduate,3333,2000,144,,Semiurban,198.78,Y
LP001282,Male,Yes,0,Graduate,2500,2118,144,1,Semiurban,162.75,Y
LP001289,Male,No,0,Graduate,8566,0,144,1,Urban,361.73,Y
LP001310,Male,Yes,0,Graduate,5695,4167,144,1,Semiurban,427.04,Y
LP001316,Male,Yes,0,Graduate,2958,2900,144,1,Semiurban,225.24,Y
LP001318,Male,Yes,2,Graduate,6250,5654,72,1,Semiurban,229.98,Y
LP001319,Male,Yes,2,Not Graduate,3273,1820,144,1,Urban,186.69,Y
LP001322,Male,No,0,Graduate,4133,0,144,1,Semiurban,138.30,Y
LP001325,Male,No,0,Not Graduate,3620,0,120,1,Semiurban,82.04,Y
LP001326,Male,No,0,Graduate,6782,0,144,,Urban,271.81,N
LP001327,Female,Yes,0,Graduate,2484,2302,144,1,Semiurban,171.21,Y
LP001333,Male,Yes,0,Graduate,1977,997,144,1,Semiurban,79.89,Y
LP001334,Male,Yes,0,Not Graduate,4188,0,72,1,Semiurban,35.54,Y
LP001343,Male,Yes,0,Graduate,1759,3541,144,1,Semiurban,197.12,Y
LP001345,Male,Yes,2,Not Graduate,4288,3263,72,1,Urban,120.29,Y
LP001349,Male,No,0,Graduate,4843,3806,144,1,Semiurban,365.91,Y
LP001350,Male,Yes,,Graduate,13650,0,144,1,Urban,617.96,Y
LP001356,Male,Yes,0,Graduate,4652,3583,144,1,Semiurban,345.04,Y
LP001357,Male,,,Graduate,3816,754,144,1,Urban,160.33,Y
LP001367,Male,Yes,1,Graduate,3052,1030,144,1,Urban,135.73,Y
LP001369,Male,Yes,2,Graduate,11417,1126,144,1,Urban,432.17,Y
LP001370,Male,No,0,Not Graduate,7333,0,144,1,Rural,299.58,N
LP001379,Male,Yes,2,Graduate,3800,3600,144,0,Urban,302.96,N
LP001384,Male,Yes,3+,Not Graduate,2071,754,192,1,Semiurban,119.84,Y
LP001385,Male,No,0,Graduate,5316,0,144,1,Urban,197.93,Y
LP001387,Female,Yes,0,Graduate,2929,2333,144,1,Semiurban,195.20,Y
LP001391,Male,Yes,0,Not Graduate,3572,4114,,0,Rural,,N
LP001392,Female,No,1,Graduate,7451,0,144,1,Semiurban,,Y
LP001398,Male,No,0,Graduate,5050,0,144,1,Semiurban,184.52,Y
LP001401,Male,Yes,1,Graduate,14583,0,72,1,Rural,297.49,Y
LP001404,Female,Yes,0,Graduate,3167,2283,144,1,Semiurban,204.68,Y
LP001405,Male,Yes,1,Graduate,2214,1398,144,,Urban,112.04,Y
LP001421,Male,Yes,0,Graduate,5568,2142,144,1,Rural,318.58,N
LP001422,Female,No,0,Graduate,10408,0,144,1,Urban,454.56,Y
LP001426,Male,Yes,,Graduate,5667,2667,144,1,Rural,350.03,Y
LP001430,Female,No,0,Graduate,4166,0,144,1,Semiurban,139.97,Y
LP001431,Female,No,0,Graduate,2137,8980,144,0,Semiurban,360.30,Y
LP001432,Male,Yes,2,Graduate,2957,0,144,1,Semiurban,79.03,Y
LP001439,Male,Yes,0,Not Graduate,4300,2014,144,1,Rural,248.23,Y
LP001443,Female,No,0,Graduate,3692,0,144,,Rural,116.08,Y
LP001448,,Yes,3+,Graduate,23803,0,144,1,Rural,599.67,Y
LP001449,Male,No,0,Graduate,3865,1640,144,1,Rural,207.45,Y
LP001451,Male,Yes,1,Graduate,10513,3850,72,0,Urban,291.95,N
LP001465,Male,Yes,0,Graduate,6080,2569,144,,Rural,365.91,N
LP001469,Male,No,0,Graduate,20166,0,192,,Urban,855.16,Y
LP001473,Male,No,0,Graduate,2014,1929,144,1,Urban,128.73,Y
LP001478,Male,No,0,Graduate,2718,0,144,1,Semiurban,66.99,Y
LP001482,Male,Yes,0,Graduate,3459,0,120,1,Semiurban,75.28,Y
LP001487,Male,No,0,Graduate,4895,0,144,1,Semiurban,176.71,Y
LP001488,Male,Yes,3+,Graduate,4000,7750,144,1,Semiurban,522.20,N
LP001489,Female,Yes,0,Graduate,4583,0,144,1,Rural,160.98,N
LP001491,Male,Yes,2,Graduate,3316,3500,144,1,Urban,273.53,Y
LP001492,Male,No,0,Graduate,14999,0,144,0,Semiurban,685.95,N
LP001493,Male,Yes,2,Not Graduate,4200,1430,144,1,Rural,213.75,N
LP001497,Male,Yes,2,Graduate,5042,2083,144,1,Rural,289.10,N
LP001498,Male,No,0,Graduate,5417,0,144,1,Urban,203.02,Y
LP001504,Male,No,0,Graduate,6950,0,72,1,Semiurban,105.14,Y
LP001507,Male,Yes,0,Graduate,2698,2034,144,1,Semiurban,168.49,Y
LP001508,Male,Yes,2,Graduate,11757,0,72,1,Urban,226.28,Y
LP001514,Female,Yes,0,Graduate,2330,4486,144,1,Semiurban,273.53,Y
LP001516,Female,Yes,2,Graduate,14866,0,144,1,Urban,349.25,Y
LP001518,Male,Yes,1,Graduate,1538,1425,144,1,Urban,79.34,Y
LP001519,Female,No,0,Graduate,10000,1666,144,1,Rural,517.97,N
LP001520,Male,Yes,0,Graduate,4860,830,144,1,Semiurban,216.78,Y
LP001528,Male,No,0,Graduate,6277,0,144,0,Rural,246.36,N
LP001529,Male,Yes,0,Graduate,2577,3750,144,1,Rural,248.88,Y
LP001531,Male,No,0,Graduate,9166,0,144,1,Urban,391.97,N
LP001532,Male,Yes,2,Not Graduate,2281,0,144,1,Rural,44.96,N
LP001535,Male,No,0,Graduate,3254,0,144,1,Urban,94.00,Y
LP001536,Male,Yes,3+,Graduate,39999,0,72,0,Semiurban,607.97,Y
LP001541,Male,Yes,1,Graduate,6000,0,144,,Rural,232.40,Y
LP001543,Male,Yes,1,Graduate,9538,0,144,1,Urban,410.72,Y
LP001546,Male,No,0,Graduate,2980,2083,144,1,Rural,185.18,Y
LP001552,Male,Yes,0,Graduate,4583,5625,144,1,Semiurban,444.48,Y
LP001560,Male,Yes,0,Not Graduate,1863,1041,144,1,Semiurban,76.36,Y
LP001562,Male,Yes,0,Graduate,7933,0,144,1,Urban,329.82,N
LP001565,Male,Yes,1,Graduate,3089,1280,144,0,Semiurban,150.20,N
LP001570,Male,Yes,2,Graduate,4167,1447,144,1,Rural,212.95,Y
LP001572,Male,Yes,0,Graduate,9323,0,72,1,Urban,164.94,Y
LP001574,Male,Yes,0,Graduate,3707,3166,,1,Rural,182.00,Y
LP001577,Female,Yes,0,Graduate,4583,0,144,1,Rural,160.98,N
LP001578,Male,Yes,0,Graduate,2439,3333,144,1,Rural,220.91,Y
LP001579,Male,No,0,Graduate,2237,0,192,0,Semiurban,80.33,N
LP001580,Male,Yes,2,Graduate,8000,0,144,1,Semiurban,333.20,Y
LP001581,Male,Yes,0,Not Graduate,1820,1769,144,1,Rural,110.89,Y
LP001585,,Yes,3+,Graduate,51763,0,120,1,Urban,,Y
LP001586,Male,Yes,3+,Not Graduate,3522,0,72,1,Rural,38.75,N
LP001594,Male,Yes,0,Graduate,5708,5625,144,1,Semiurban,501.18,Y
LP001603,Male,Yes,0,Not Graduate,4344,736,144,1,Semiurban,186.03,N
LP001606,Male,Yes,0,Graduate,3497,1964,144,1,Rural,205.23,Y
LP001608,Male,Yes,2,Graduate,2045,1619,144,1,Rural,114.67,Y
LP001610,Male,Yes,3+,Graduate,5516,11300,144,0,Semiurban,777.53,N
LP001616,Male,Yes,1,Graduate,3750,0,144,1,Semiurban,119.00,Y
LP001630,Male,No,0,Not Graduate,2333,1451,192,0,Urban,184.28,N
LP001633,Male,Yes,1,Graduate,6400,7250,144,0,Urban,387.96,N
LP001634,Male,No,0,Graduate,1916,5063,144,,Rural,281.74,N
LP001636,Male,Yes,0,Graduate,4600,0,72,1,Semiurban,45.92,Y
LP001637,Male,Yes,1,Graduate,33846,0,144,1,Semiurban,,N
LP001639,Female,Yes,0,Graduate,3625,0,144,1,Semiurban,112.70,Y
LP001640,Male,Yes,0,Graduate,39147,4750,144,1,Semiurban,,Y
LP001641,Male,Yes,1,Graduate,2178,0,120,0,Rural,21.48,N
LP001643,Male,Yes,0,Graduate,2383,2138,144,,Rural,157.86,Y
LP001644,,Yes,0,Graduate,674,5296,144,1,Rural,230.89,Y
LP001647,Male,Yes,0,Graduate,9328,0,72,1,Rural,165.07,Y
LP001653,Male,No,0,Not Graduate,4885,0,144,1,Rural,176.20,Y
LP001656,Male,No,0,Graduate,12000,0,144,1,Semiurban,404.80,N
LP001657,Male,Yes,0,Not Graduate,6033,0,144,1,Urban,234.06,N
LP001658,Male,No,0,Graduate,3858,0,144,1,Semiurban,124.44,Y
LP001664,Male,No,0,Graduate,4191,0,144,1,Rural,141.23,Y
LP001665,Male,Yes,1,Graduate,3125,2583,144,1,Semiurban,217.68,N
LP001666,Male,No,0,Graduate,8333,3750,,1,Rural,,Y
LP001669,Female,No,0,Not Graduate,1907,2365,,1,Urban,,Y
LP001671,Female,Yes,0,Graduate,3416,2816,144,,Semiurban,244.09,Y
LP001673,Male,No,0,Graduate,11000,0,144,1,Urban,484.40,N
LP001674,Male,Yes,1,Not Graduate,2600,2500,144,1,Semiurban,187.04,Y
LP001677,Male,No,2,Graduate,4923,0,144,0,Semiurban,178.12,Y
LP001682,Male,Yes,3+,Not Graduate,3992,0,72,1,Urban,30.60,N
LP001688,Male,Yes,1,Not Graduate,3500,1083,144,1,Urban,160.98,Y
LP001691,Male,Yes,2,Not Graduate,3917,0,144,1,Semiurban,127.42,Y
LP001692,Female,No,0,Not Graduate,4408,0,144,1,Semiurban,152.16,Y
LP001693,Female,No,0,Graduate,3244,0,144,1,Urban,93.50,Y
LP001698,Male,No,0,Not Graduate,3975,2531,144,1,Rural,257.90,Y
LP001699,Male,No,0,Graduate,2479,0,144,1,Urban,54.94,Y
LP001702,Male,No,0,Graduate,3418,0,144,1,Semiurban,102.27,N
LP001708,Female,No,0,Graduate,10000,0,144,1,Semiurban,434.00,N
LP001711,Male,Yes,3+,Graduate,3430,1250,144,0,Semiurban,165.87,N
LP001713,Male,Yes,1,Graduate,7787,0,144,1,Urban,322.46,Y
LP001715,Male,Yes,3+,Not Graduate,5703,0,144,1,Rural,217.43,Y
LP001716,Male,Yes,0,Graduate,3173,3021,144,1,Urban,242.18,Y
LP001720,Male,Yes,3+,Not Graduate,3850,983,144,1,Semiurban,173.58,Y
LP001722,Male,Yes,0,Graduate,150,1800,144,1,Rural,28.28,N
LP001726,Male,Yes,0,Graduate,3727,1775,144,1,Semiurban,207.30,Y
LP001732,Male,Yes,2,Graduate,5000,0,144,0,Semiurban,182.00,N
LP001734,Female,Yes,2,Graduate,4283,2383,144,,Semiurban,265.97,Y
LP001736,Male,Yes,0,Graduate,2221,0,144,0,Urban,41.94,N
LP001743,Male,Yes,2,Graduate,4009,1717,144,1,Semiurban,218.59,Y
LP001744,Male,No,0,Graduate,2971,2791,144,1,Semiurban,220.40,Y
LP001749,Male,Yes,0,Graduate,7578,1010,,1,Semiurban,,Y
LP001750,Male,Yes,0,Graduate,6250,0,144,1,Semiurban,245.00,Y
LP001751,Male,Yes,0,Graduate,3250,0,144,1,Rural,93.80,N
LP001754,Male,Yes,,Not Graduate,4735,0,144,1,Urban,168.64,N
LP001758,Male,Yes,2,Graduate,6250,1695,144,1,Semiurban,330.43,Y
LP001760,Male,,,Graduate,4758,0,192,1,Semiurban,249.74,Y
LP001761,Male,No,0,Graduate,6400,0,144,1,Rural,252.56,Y
LP001765,Male,Yes,1,Graduate,2491,2054,144,1,Semiurban,159.07,Y
LP001768,Male,Yes,0,Graduate,3716,0,72,1,Rural,23.64,Y
LP001770,Male,No,0,Not Graduate,3189,2598,,1,Rural,,Y
LP001776,Female,No,0,Graduate,8333,0,144,1,Semiurban,349.98,Y
LP001778,Male,Yes,1,Graduate,3155,1779,144,1,Semiurban,178.67,Y
LP001784,Male,Yes,1,Graduate,5500,1260,144,1,Rural,270.70,Y
LP001786,Male,Yes,0,Graduate,5746,0,144,,Urban,219.60,N
LP001788,Female,No,0,Graduate,3463,0,144,,Urban,104.54,Y
LP001790,Female,No,1,Graduate,3812,0,144,1,Rural,122.12,Y
LP001792,Male,Yes,1,Graduate,3315,0,144,1,Semiurban,97.08,Y
LP001798,Male,Yes,2,Graduate,5819,5000,144,1,Rural,475.28,Y
LP001800,Male,Yes,1,Not Graduate,2510,1983,72,1,Urban,43.22,N
LP001806,Male,No,0,Graduate,2965,5701,60,1,Urban,111.99,Y
LP001807,Male,Yes,2,Graduate,6250,1300,144,1,Rural,310.52,Y
LP001811,Male,Yes,0,Not Graduate,3406,4417,144,1,Semiurban,324.28,Y
LP001813,Male,No,0,Graduate,6050,4333,72,1,Urban,191.65,N
LP001814,Male,Yes,2,Graduate,9703,0,144,1,Urban,419.03,Y
LP001819,Male,Yes,1,Not Graduate,6608,0,72,1,Urban,96.52,Y
LP001824,Male,Yes,1,Graduate,2882,1843,192,1,Semiurban,247.52,Y
LP001825,Male,Yes,0,Graduate,1809,1868,144,1,Urban,115.32,Y
LP001835,Male,Yes,0,Not Graduate,1668,3890,144,0,Semiurban,210.12,N
LP001836,Female,No,2,Graduate,3427,0,144,1,Urban,102.72,N
LP001841,Male,No,0,Not Graduate,2583,2167,144,1,Rural,169.40,Y
LP001843,Male,Yes,1,Not Graduate,2661,7101,72,1,Semiurban,176.00,Y
LP001844,Male,No,0,Graduate,16250,0,144,0,Urban,419.00,N
LP001846,Female,No,3+,Graduate,3083,0,144,1,Rural,85.38,Y
LP001849,Male,No,0,Not Graduate,6045,0,144,0,Rural,234.67,N
LP001854,Male,Yes,3+,Graduate,5250,0,144,1,Urban,194.60,N
LP001859,Male,Yes,0,Graduate,14683,2100,144,1,Rural,545.86,N
LP001864,Male,Yes,3+,Not Graduate,4931,0,144,,Semiurban,178.52,N
LP001865,Male,Yes,1,Graduate,6083,4250,144,,Urban,450.78,Y
LP001868,Male,No,0,Graduate,2060,2209,144,1,Semiurban,145.16,Y
LP001870,Female,No,1,Graduate,3481,0,36,1,Semiurban,43.86,N
LP001871,Female,No,0,Graduate,7200,0,144,1,Rural,292.88,Y
LP001872,Male,No,0,Graduate,5166,0,144,1,Semiurban,190.37,Y
LP001875,Male,No,0,Graduate,4095,3447,144,1,Rural,310.12,Y
LP001877,Male,Yes,2,Graduate,4708,1387,144,1,Semiurban,237.19,Y
LP001882,Male,Yes,3+,Graduate,4333,1811,144,0,Urban,239.66,Y
LP001883,Female,No,0,Graduate,3418,0,144,1,Rural,102.27,N
LP001884,Female,No,1,Graduate,2876,1560,144,1,Urban,153.57,Y
LP001888,Female,No,0,Graduate,3237,0,144,1,Urban,93.14,Y
LP001891,Male,Yes,0,Graduate,11146,0,144,1,Urban,361.76,Y
LP001892,Male,No,0,Graduate,2833,1857,144,1,Rural,166.38,Y
LP001894,Male,Yes,0,Graduate,2620,2223,144,1,Semiurban,174.09,Y
LP001896,Male,Yes,2,Graduate,3900,0,144,1,Semiurban,126.56,Y
LP001900,Male,Yes,1,Graduate,2750,1842,144,1,Semiurban,161.44,Y
LP001903,Male,Yes,0,Graduate,3993,3274,144,1,Semiurban,296.26,Y
LP001904,Male,Yes,0,Graduate,3103,1300,144,1,Urban,151.91,Y
LP001907,Male,Yes,0,Graduate,14583,0,144,1,Semiurban,664.98,Y
LP001908,Female,Yes,0,Not Graduate,4100,0,144,,Rural,136.64,Y
LP001910,Male,No,1,Not Graduate,4053,2426,144,0,Urban,256.54,N
LP001914,Male,Yes,0,Graduate,3927,800,144,1,Semiurban,168.24,Y
LP001915,Male,Yes,2,Graduate,2301,985.7999878,72,1,Urban,12.83,Y
LP001917,Female,No,0,Graduate,1811,1666,144,1,Urban,105.24,Y
LP001922,Male,Yes,0,Graduate,20667,0,144,1,Rural,741.62,N
LP001924,Male,No,0,Graduate,3158,3053,144,1,Rural,243.03,Y
LP001925,Female,No,0,Graduate,2600,1717,120,1,Semiurban,111.31,N
LP001926,Male,Yes,0,Graduate,3704,2000,144,1,Rural,217.48,Y
LP001931,Female,No,0,Graduate,4124,0,144,1,Semiurban,137.85,Y
LP001935,Male,No,0,Graduate,9508,0,144,1,Rural,409.20,Y
LP001936,Male,Yes,0,Graduate,3075,2416,144,1,Rural,206.75,Y
LP001938,Male,Yes,2,Graduate,4400,0,144,0,Semiurban,151.76,N
LP001940,Male,Yes,2,Graduate,3153,1560,144,1,Urban,167.54,Y
LP001945,Female,No,,Graduate,5417,0,192,0,Urban,294.02,N
LP001947,Male,Yes,0,Graduate,2383,3334,144,1,Semiurban,218.14,Y
LP001949,Male,Yes,3+,Graduate,4416,1250,144,1,Urban,215.57,Y
LP001953,Male,Yes,1,Graduate,6875,0,144,1,Semiurban,276.50,Y
LP001954,Female,Yes,1,Graduate,4666,0,144,1,Urban,165.17,Y
LP001955,Female,No,0,Graduate,5000,2541,192,1,Rural,436.76,N
LP001963,Male,Yes,1,Graduate,2014,2925,144,1,Urban,178.93,N
LP001964,Male,Yes,0,Not Graduate,1800,2934,144,0,Urban,168.59,N
LP001972,Male,Yes,,Not Graduate,2875,1750,144,1,Semiurban,163.10,Y
LP001974,Female,No,0,Graduate,5000,0,144,1,Rural,182.00,Y
LP001977,Male,Yes,1,Graduate,1625,1803,144,1,Urban,102.77,Y
LP001978,Male,No,0,Graduate,4000,2500,144,1,Rural,257.60,Y
LP001990,Male,No,0,Not Graduate,2000,0,144,1,Urban,30.80,N
